round_epochs,loss,acc,first_neuron,activation,batch_size
100,0.5320942079998705,0.7541899443560695,48,<function relu at 0x00000277C37CD158>,20
100,5.762894313428655,0.642458115876054,24,<function elu at 0x00000277C37BBEA0>,30
100,0.4985546528516091,0.7970204862802388,48,<function elu at 0x00000277C37BBEA0>,20
100,0.5632408459981283,0.7560521421929756,24,<function relu at 0x00000277C37CD158>,20
100,0.5463924704317275,0.7467411586692213,12,<function elu at 0x00000277C37BBEA0>,30
100,0.60197373813979,0.7504655481272792,24,<function relu at 0x00000277C37CD158>,10
100,10.242314610401346,0.3575419080712498,12,<function elu at 0x00000277C37BBEA0>,10
100,0.46079209380309677,0.7970204762906336,48,<function elu at 0x00000277C37BBEA0>,10
100,0.5244524322408538,0.7635009258819025,48,<function relu at 0x00000277C37CD158>,30
100,0.5895402482546019,0.7206703921714086,12,<function relu at 0x00000277C37CD158>,20
100,0.4815650264311103,0.7821229013650777,48,<function elu at 0x00000277C37BBEA0>,30
100,5.762894522988375,0.6424581102152777,12,<function elu at 0x00000277C37BBEA0>,20
100,0.5508721893726114,0.7616387322628299,24,<function relu at 0x00000277C37CD158>,30
100,0.5496373004531505,0.7690875287162525,24,<function elu at 0x00000277C37BBEA0>,20
100,0.5676652763586915,0.7523277442992511,12,<function relu at 0x00000277C37CD158>,10
100,0.6357834946287855,0.7765363100742717,48,<function relu at 0x00000277C37CD158>,10
100,0.5839804673994053,0.7281191791902041,12,<function relu at 0x00000277C37CD158>,30
100,0.516923636420035,0.7858472959289338,24,<function elu at 0x00000277C37BBEA0>,10
