round_epochs,loss,acc,first_neuron,activation,batch_size
100,5.582804085822079,0.6536312925194007,48,<function relu at 0x000001FBBEEFC158>,10
100,0.6435196689387274,0.7337057700370277,12,<function relu at 0x000001FBBEEFC158>,30
100,0.5209765023581364,0.7709497193384437,24,<function relu at 0x000001FBBEEFC158>,10
100,0.5070532693543248,0.7932960883865143,48,<function relu at 0x000001FBBEEFC158>,30
100,0.5159712493752634,0.7932960872765582,48,<function elu at 0x000001FBBEEEAEA0>,20
100,0.4796388161470992,0.7970204818404143,12,<function elu at 0x000001FBBEEEAEA0>,10
100,0.577493114511394,0.7579143347020921,24,<function relu at 0x000001FBBEEFC158>,30
100,5.582803967809013,0.6536312925194007,24,<function elu at 0x000001FBBEEEAEA0>,10
100,0.48865072914785956,0.7746741172321682,24,<function elu at 0x000001FBBEEEAEA0>,20
100,5.582803972248838,0.6536312933518678,48,<function elu at 0x000001FBBEEEAEA0>,10
100,0.5698840693610563,0.7579143444697062,12,<function relu at 0x000001FBBEEFC158>,20
100,0.527263675544071,0.7616387345937378,24,<function relu at 0x000001FBBEEFC158>,20
100,0.4555600863262262,0.7970204812854362,48,<function elu at 0x000001FBBEEEAEA0>,30
100,0.49668916726911533,0.7765363155130568,12,<function elu at 0x000001FBBEEEAEA0>,30
100,5.582803943747693,0.6536312955717801,12,<function relu at 0x000001FBBEEFC158>,10
100,0.46583767820780947,0.783985101421896,48,<function relu at 0x000001FBBEEFC158>,20
100,0.47754589738792547,0.7858472949299733,24,<function elu at 0x000001FBBEEEAEA0>,30
100,0.5374719998911994,0.7858472970388899,12,<function elu at 0x000001FBBEEEAEA0>,20
